17884.0827971896;27328.5230274664
18834.8588355219;26624.1968661646
19758.1415361311;25886.8989562644
20652.791474392;25117.6945139718
21517.710234418;24317.6879806111
22351.8417536961;23488.0214525678
23127.774032622;22589.2047443038
23868.0438612689;21665.0803550122
24571.8388248025;20717.0481045613
25238.4009693303;19746.5333659399
25867.0275840075;18754.9849620971
26357.2856625295;17638.1688384197
26800.861036396;16510.6922993693
27197.6326370502;15374.4639504192
27547.5562064077;14231.3869868663
27850.6637448056;13083.356139937
28109.2419259501;11933.8476231376
28321.4063919053;10782.9752238297
28487.4043933608;9632.5842741353
28607.5557542273;8484.5002424062
28682.2517571279;7340.5259022229
28709.5184891448;6201.2743388277
28692.2412467584;5069.8391764129
28631.027935309;3947.9429615787
28526.5525984696;2837.2743158376
28379.553759619;1739.4854077492
28330.5568055705;694.233883595
28243.2237380401;-345.194728517
28117.9117102748;-1377.3998092942
27955.0288665362;-2400.9989546106
27755.0334920169;-3414.6298258405
27566.504056586;-4412.8397472519
27342.1503477996;-5401.9031838915
27082.3864390682;-6380.5371833737
26787.6722516517;-7347.4767456198
26458.5127990682;-8301.4764577749
26183.1410148331;-9273.1296524714
25872.0627635499;-10235.6867093001
25525.5771364965;-11187.8346633166
25144.0315320398;-12128.2703350776
24727.8213372108;-13055.7021089223
24311.5430628641;-14002.7960436195
23859.042752747;-14936.7759508603
23370.7275107792;-15856.2582455356
22847.0572311573;-16759.8717530018
22288.5442285678;-17646.2597212051
21778.223264488;-18632.8088337819
21225.5179458815;-19605.3771257854
20630.7793770284;-20562.1794731953
19994.4327824807;-21501.4382932168
19316.9773963292;-22421.3865850657
18597.8843782973;-23317.8178578628
17839.0823407732;-24191.3697260897
17041.2948004395;-25040.3351889647
16205.3171105176;-25863.0301358841
15332.0157269281;-26657.7963183205
14422.9658233497;-27425.6204671348
13478.3432519995;-28162.3332202643
12499.2199223754;-28866.3608893223
11486.7352311864;-29536.167151118
10442.0947368973;-30170.2558741201
9358.0662535297;-30622.2513406829
8255.0174947747;-31035.1949984142
7134.3591432647;-31408.3028414902
5997.5336895715;-31740.8419678603
4846.0135754586;-32032.1318535439
3687.1843679855;-32233.4896479626
2520.1472788439;-32392.8795879499
1346.4238073008;-32509.9720455395
167.5485331901;-32584.4926102962
-1014.9328890538;-32616.2226033097
-2152.5176224358;-32531.9503276999
-3285.4126968109;-32408.0886915659
-4412.2435791576;-32244.8638725352
-5531.6458617444;-32042.549652045
-6642.2669063306;-31801.4669824002
-7701.8066962074;-31499.0822923866
-8748.3490273179;-31161.6928609438
-9780.7490380698;-30789.8368425799
-10797.8835671463;-30384.0893776937
